geoid,tract_name,borough,B05002_E001,B05002_M001,B05002_E002,B05002_M002,B05002_E003,B05002_M003,B05002_E004,B05002_M004,B05002_E005,B05002_M005,B05002_E006,B05002_M006,B05002_E007,B05002_M007,B05002_E008,B05002_M008,B05002_E009,B05002_M009,B05002_E010,B05002_M010,B05002_E011,B05002_M011,B05002_E012,B05002_M012,B05002_E013,B05002_M013,B05002_E014,B05002_M014,B05002_E015,B05002_M015,B05002_E016,B05002_M016,B05002_E017,B05002_M017,B05002_E018,B05002_M018,B05002_E019,B05002_M019,B05002_E020,B05002_M020,B05002_E021,B05002_M021,B05002_E022,B05002_M022,B05002_E023,B05002_M023,B05002_E024,B05002_M024,B05002_E025,B05002_M025,B05002_E026,B05002_M026,B05002_E027,B05002_M027
1400000US36005000100,"Census Tract 1, Bronx County, New York",Bronx,2950,1354,2682,1308,2370,1150,249,176,106,91,9,16,101,78,33,52,63,45,63,45,0,14,0,14,268,120,81,59,9,19,9,19,0,14,0,14,63,75,0,14,187,104,14,32,13,21,0,14,0,14,160,90,0,14
1400000US36005000200,"Census Tract 2, Bronx County, New York",Bronx,5061,683,3101,589,2645,553,218,237,22,33,0,19,0,19,196,226,238,113,238,113,0,19,0,19,1960,583,1136,344,70,95,97,146,127,139,0,19,842,271,0,19,824,440,101,62,153,231,14,23,0,19,556,308,0,19
1400000US36005000400,"Census Tract 4, Bronx County, New York",Bronx,6649,974,5682,879,4875,806,85,79,45,67,0,19,40,47,0,19,722,225,550,158,6,24,166,163,967,530,591,400,7,19,19,32,0,19,0,19,565,399,0,19,376,222,0,19,73,104,68,104,0,19,235,187,0,19
1400000US36005001600,"Census Tract 16, Bronx County, New York",Bronx,5611,602,3728,568,2878,448,286,212,91,97,13,18,127,141,55,83,564,276,482,260,0,19,82,93,1883,449,1389,546,47,52,118,99,373,268,0,19,851,470,0,19,494,317,0,19,23,36,105,92,0,19,366,338,0,19
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",Bronx,2260,308,1723,198,1204,234,444,163,144,98,62,58,139,125,99,92,75,60,36,48,0,14,39,40,537,229,215,90,22,37,0,14,85,63,0,14,108,78,0,14,322,206,50,45,0,14,100,88,0,14,172,186,0,14
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",Bronx,2079,359,1569,359,1331,360,188,79,35,40,57,49,57,44,39,56,50,37,50,37,0,14,0,14,510,167,204,105,0,14,0,14,0,14,0,14,204,105,0,14,306,133,0,14,0,14,34,35,0,14,272,133,0,14
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",Bronx,4199,805,3607,674,2953,682,392,172,49,54,0,14,343,162,0,14,262,147,223,137,16,30,23,36,592,226,251,140,0,14,0,14,0,14,0,14,251,140,0,14,341,173,0,14,0,14,0,14,0,14,341,173,0,14
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",Bronx,3609,807,2471,807,1728,695,289,223,0,14,0,14,289,223,0,14,454,360,437,355,0,14,17,27,1138,459,685,274,0,14,0,14,0,14,0,14,685,274,0,14,453,333,0,14,0,14,0,14,0,14,453,333,0,14
1400000US36005002300,"Census Tract 23, Bronx County, New York",Bronx,4567,632,3552,524,3145,515,98,70,19,30,0,14,79,64,0,14,309,155,256,149,0,14,53,66,1015,496,464,199,0,14,0,14,136,92,0,14,328,182,0,14,551,469,0,14,0,14,64,81,0,14,487,460,0,14
1400000US36005002400,"Census Tract 24, Bronx County, New York",Bronx,105,9,63,42,63,42,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,42,42,13,31,0,14,0,14,0,14,0,14,13,31,0,14,29,18,0,14,0,14,0,14,0,14,29,18,0,14
1400000US36005002500,"Census Tract 25, Bronx County, New York",Bronx,5117,609,2894,528,2255,519,84,84,0,19,6,11,78,80,0,19,555,190,280,123,0,19,275,144,2223,454,1065,265,0,19,15,22,140,125,0,19,910,225,0,19,1158,508,58,81,38,42,16,22,0,19,1046,529,0,19
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",Bronx,3111,536,2356,481,1659,399,450,212,180,125,0,14,270,224,0,14,247,122,247,122,0,14,0,14,755,256,371,149,0,14,25,40,36,47,0,14,310,140,0,14,384,263,0,14,0,14,31,70,0,14,353,238,0,14
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",Bronx,4798,604,3443,667,2753,652,133,93,0,14,0,14,87,67,46,63,557,247,367,184,33,54,157,147,1355,303,626,246,0,14,33,51,127,112,0,14,466,218,0,14,729,253,0,14,0,14,74,81,0,14,655,244,0,14
1400000US36005002800,"Census Tract 28, Bronx County, New York",Bronx,5462,809,4889,759,4105,726,427,193,91,108,0,19,336,157,0,19,357,212,264,158,0,19,93,175,573,332,501,289,0,19,0,19,329,263,0,19,172,146,0,19,72,79,14,24,0,19,49,66,0,19,9,28,0,19
1400000US36005003100,"Census Tract 31, Bronx County, New York",Bronx,2788,466,1923,375,1506,248,277,263,253,263,0,14,21,34,3,5,140,81,115,84,0,14,25,49,865,298,418,147,0,14,102,123,161,134,0,14,155,74,0,14,447,259,0,14,33,54,219,229,0,14,195,124,0,14
