geoid,tract_name,borough,B08301_E001,B08301_M001,B08301_E002,B08301_M002,B08301_E003,B08301_M003,B08301_E004,B08301_M004,B08301_E005,B08301_M005,B08301_E006,B08301_M006,B08301_E007,B08301_M007,B08301_E008,B08301_M008,B08301_E009,B08301_M009,B08301_E010,B08301_M010,B08301_E011,B08301_M011,B08301_E012,B08301_M012,B08301_E013,B08301_M013,B08301_E014,B08301_M014,B08301_E015,B08301_M015,B08301_E016,B08301_M016,B08301_E017,B08301_M017,B08301_E018,B08301_M018,B08301_E019,B08301_M019,B08301_E020,B08301_M020,B08301_E021,B08301_M021
1400000US36005000100,"Census Tract 1, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005000200,"Census Tract 2, Bronx County, New York",Bronx,2433,462,1158,379,1084,382,74,64,74,64,0,19,0,19,0,19,0,19,820,273,391,188,147,114,0,19,0,19,282,242,23,34,0,19,0,19,219,192,163,173,50,59
1400000US36005000400,"Census Tract 4, Bronx County, New York",Bronx,3044,598,1851,573,1517,554,334,181,126,94,134,183,74,118,0,19,0,19,665,303,289,172,307,217,0,19,0,19,69,72,0,19,0,19,138,149,285,351,6,17,99,92
1400000US36005001600,"Census Tract 16, Bronx County, New York",Bronx,2465,436,1326,349,1287,354,39,53,39,53,0,19,0,19,0,19,0,19,659,289,387,175,257,161,0,19,0,19,15,24,0,19,0,19,12,21,246,132,14,27,208,138
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",Bronx,1234,244,198,128,165,116,33,49,33,49,0,14,0,14,0,14,0,14,582,182,67,55,515,181,0,14,0,14,0,14,16,24,0,14,21,25,71,57,18,26,328,131
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",Bronx,958,247,243,100,243,100,0,14,0,14,0,14,0,14,0,14,0,14,427,175,82,50,330,171,15,28,0,14,0,14,0,14,0,14,0,14,264,94,0,14,24,29
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",Bronx,1041,292,119,101,77,88,42,65,42,65,0,14,0,14,0,14,0,14,684,318,403,263,281,135,0,14,0,14,0,14,0,14,0,14,0,14,148,94,22,40,68,66
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",Bronx,1241,563,529,301,529,301,0,14,0,14,0,14,0,14,0,14,0,14,676,344,240,219,436,297,0,14,0,14,0,14,0,14,0,14,0,14,13,24,0,14,23,39
