geoid,tract_name,borough,B11001_E001,B11001_M001,B11001_E002,B11001_M002,B11001_E003,B11001_M003,B11001_E004,B11001_M004,B11001_E005,B11001_M005,B11001_E006,B11001_M006,B11001_E007,B11001_M007,B11001_E008,B11001_M008,B11001_E009,B11001_M009
1400000US36005000100,"Census Tract 1, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005000200,"Census Tract 2, Bronx County, New York",Bronx,1416,197,1136,153,584,177,552,159,133,122,419,141,280,220,139,91,141,203
1400000US36005000400,"Census Tract 4, Bronx County, New York",Bronx,2218,277,1554,279,999,336,555,170,193,182,362,153,664,205,535,151,129,150
1400000US36005001600,"Census Tract 16, Bronx County, New York",Bronx,2083,201,1453,244,659,194,794,238,164,128,630,244,630,170,545,181,85,86
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",Bronx,1149,117,545,131,200,91,345,126,93,66,252,126,604,162,519,136,85,98
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",Bronx,624,78,346,99,284,97,62,54,15,20,47,46,278,78,269,81,9,15
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",Bronx,1729,201,1091,222,217,142,874,189,41,48,833,192,638,178,638,178,0,14
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",Bronx,1808,466,983,308,166,97,817,326,17,25,800,328,825,378,796,382,29,34
1400000US36005002300,"Census Tract 23, Bronx County, New York",Bronx,1904,206,1264,234,354,226,910,155,164,95,746,152,640,167,581,173,59,73
1400000US36005002400,"Census Tract 24, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005002500,"Census Tract 25, Bronx County, New York",Bronx,1872,149,1175,207,324,155,851,199,293,139,558,183,697,170,578,167,119,102
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",Bronx,1197,114,789,151,205,115,584,154,178,131,406,157,408,124,403,122,5,10
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",Bronx,1528,140,1061,227,459,189,602,212,78,94,524,173,467,167,401,159,66,97
1400000US36005002800,"Census Tract 28, Bronx County, New York",Bronx,2806,351,1320,389,366,193,954,403,78,91,876,376,1486,369,1351,381,135,118
1400000US36005003100,"Census Tract 31, Bronx County, New York",Bronx,1162,264,916,262,239,128,677,277,55,56,622,278,246,97,233,101,13,26
1400000US36005003300,"Census Tract 33, Bronx County, New York",Bronx,1243,175,888,193,346,130,542,159,66,64,476,143,355,165,355,165,0,14
1400000US36005003500,"Census Tract 35, Bronx County, New York",Bronx,1428,306,1060,301,355,109,705,307,30,48,675,299,368,145,352,150,16,24
1400000US36005003700,"Census Tract 37, Bronx County, New York",Bronx,149,74,105,58,0,14,105,58,0,14,105,58,44,52,12,16,32,51
1400000US36005003800,"Census Tract 38, Bronx County, New York",Bronx,392,27,226,62,109,56,117,56,9,16,108,56,166,66,166,66,0,14
1400000US36005003900,"Census Tract 39, Bronx County, New York",Bronx,2197,298,1039,233,493,280,546,236,88,112,458,234,1158,302,1019,309,139,136
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",Bronx,489,70,389,74,249,68,140,60,21,28,119,57,100,44,100,44,0,14
1400000US36005004100,"Census Tract 41, Bronx County, New York",Bronx,2468,333,1235,371,632,365,603,265,163,175,440,149,1233,416,1233,416,0,19
1400000US36005004200,"Census Tract 42, Bronx County, New York",Bronx,2839,320,2117,389,642,264,1475,395,335,202,1140,392,722,219,662,215,60,76
1400000US36005004300,"Census Tract 43, Bronx County, New York",Bronx,2230,177,1308,230,349,168,959,209,67,86,892,199,922,271,922,271,0,19
1400000US36005004400,"Census Tract 44, Bronx County, New York",Bronx,1539,133,1030,175,265,123,765,157,87,93,678,173,509,135,438,125,71,58
1400000US36005004600,"Census Tract 46, Bronx County, New York",Bronx,664,86,352,98,129,57,223,91,46,45,177,84,312,83,269,85,43,53
1400000US36005004800,"Census Tract 48, Bronx County, New York",Bronx,1498,150,991,177,463,174,528,167,144,100,384,134,507,136,409,129,98,62
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",Bronx,1406,137,966,187,376,149,590,181,100,85,490,154,440,143,330,116,110,83
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",Bronx,1880,229,1264,239,531,227,733,182,377,146,356,138,616,164,542,162,74,70
1400000US36005005100,"Census Tract 51, Bronx County, New York",Bronx,2930,258,1730,291,294,174,1436,337,0,19,1436,337,1200,382,1104,367,96,138
1400000US36005005200,"Census Tract 52, Bronx County, New York",Bronx,813,105,586,104,88,48,498,113,61,56,437,114,227,86,219,86,8,13
1400000US36005005300,"Census Tract 53, Bronx County, New York",Bronx,1614,179,840,212,118,98,722,207,86,102,636,208,774,206,699,206,75,68
1400000US36005005400,"Census Tract 54, Bronx County, New York",Bronx,1756,209,1452,216,652,209,800,243,192,121,608,210,304,121,266,109,38,48
1400000US36005005600,"Census Tract 56, Bronx County, New York",Bronx,1006,197,615,175,191,127,424,127,140,94,284,105,391,111,352,110,39,39
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",Bronx,1288,202,636,143,245,94,391,160,83,76,308,146,652,242,613,229,39,44
1400000US36005006000,"Census Tract 60, Bronx County, New York",Bronx,386,56,282,70,79,46,203,74,42,27,161,69,104,51,90,50,14,22
1400000US36005006100,"Census Tract 61, Bronx County, New York",Bronx,1875,345,917,334,229,91,688,333,157,125,531,326,958,209,938,211,20,34
1400000US36005006200,"Census Tract 62, Bronx County, New York",Bronx,2544,366,1720,419,282,178,1438,411,441,185,997,360,824,252,647,216,177,163
1400000US36005006301,"Census Tract 63.01, Bronx County, New York",Bronx,3045,275,1338,353,474,267,864,253,163,154,701,207,1707,449,1037,323,670,455
1400000US36005006302,"Census Tract 63.02, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005006400,"Census Tract 64, Bronx County, New York",Bronx,1574,222,1017,205,255,130,762,216,173,132,589,224,557,216,403,196,154,105
1400000US36005006500,"Census Tract 65, Bronx County, New York",Bronx,2245,243,1381,376,265,173,1116,371,178,118,938,350,864,305,843,304,21,41
1400000US36005006700,"Census Tract 67, Bronx County, New York",Bronx,2640,454,1389,586,276,237,1113,572,168,137,945,575,1251,441,1182,423,69,137
1400000US36005006800,"Census Tract 68, Bronx County, New York",Bronx,893,177,668,201,244,133,424,151,156,130,268,103,225,96,203,93,22,37
1400000US36005006900,"Census Tract 69, Bronx County, New York",Bronx,2705,393,1579,459,587,256,992,456,264,146,728,417,1126,332,990,346,136,206
1400000US36005007000,"Census Tract 70, Bronx County, New York",Bronx,1447,151,1007,190,534,140,473,169,117,87,356,155,440,147,342,144,98,70
1400000US36005007100,"Census Tract 71, Bronx County, New York",Bronx,1530,150,758,253,148,85,610,245,172,209,438,162,772,208,772,208,0,14
1400000US36005007200,"Census Tract 72, Bronx County, New York",Bronx,1625,241,1106,213,763,170,343,158,158,127,185,115,519,186,427,159,92,99
