geoid,tract_name,borough,B15003_E001,B15003_M001,B15003_E002,B15003_M002,B15003_E003,B15003_M003,B15003_E004,B15003_M004,B15003_E005,B15003_M005,B15003_E006,B15003_M006,B15003_E007,B15003_M007,B15003_E008,B15003_M008,B15003_E009,B15003_M009,B15003_E010,B15003_M010,B15003_E011,B15003_M011,B15003_E012,B15003_M012,B15003_E013,B15003_M013,B15003_E014,B15003_M014,B15003_E015,B15003_M015,B15003_E016,B15003_M016,B15003_E017,B15003_M017,B15003_E018,B15003_M018,B15003_E019,B15003_M019,B15003_E020,B15003_M020,B15003_E021,B15003_M021,B15003_E022,B15003_M022,B15003_E023,B15003_M023,B15003_E024,B15003_M024,B15003_E025,B15003_M025
1400000US36005000100,"Census Tract 1, Bronx County, New York",Bronx,2650,1192,41,82,0,14,0,14,11,21,0,14,0,14,22,32,24,28,44,51,12,24,79,77,118,106,197,168,224,131,208,121,848,653,391,158,46,49,210,197,114,71,26,30,11,22,8,18,16,23
1400000US36005000200,"Census Tract 2, Bronx County, New York",Bronx,3509,488,217,173,0,19,0,19,3,5,1,3,0,19,0,19,33,52,21,34,0,19,0,19,0,19,0,19,53,48,56,56,846,297,356,215,24,40,414,184,332,195,664,199,489,331,0,19,0,19
1400000US36005000400,"Census Tract 4, Bronx County, New York",Bronx,4804,707,123,81,0,19,0,19,0,19,0,19,0,19,0,19,28,46,19,31,0,19,375,367,128,112,160,257,0,19,184,154,942,435,91,83,259,121,410,196,310,206,1115,398,529,176,131,144,0,19
1400000US36005001600,"Census Tract 16, Bronx County, New York",Bronx,3880,496,57,77,0,19,0,19,0,19,75,105,0,19,15,23,15,24,241,295,69,95,73,89,11,17,17,28,267,171,166,119,875,261,183,113,208,133,351,144,401,217,536,246,299,156,0,19,21,35
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",Bronx,1655,252,83,59,0,14,0,14,0,14,0,14,10,21,0,14,18,30,0,14,0,14,8,14,0,14,4,7,68,65,110,99,455,236,9,14,41,41,190,129,172,97,297,109,147,79,43,48,0,14
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",Bronx,1550,283,54,59,0,14,0,14,0,14,3,5,5,12,0,14,22,31,19,26,0,14,31,34,165,111,96,110,70,75,84,75,184,83,21,20,53,47,248,87,287,78,76,52,99,77,33,33,0,14
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",Bronx,2468,386,273,161,0,14,0,14,0,14,0,14,0,14,70,115,0,14,30,45,12,22,23,35,31,39,29,42,192,123,134,146,598,222,342,190,70,60,218,154,282,144,133,95,31,42,0,14,0,14
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",Bronx,2981,686,646,392,0,14,0,14,0,14,49,85,0,14,64,81,0,14,0,14,19,31,185,159,0,14,215,312,147,170,15,24,431,213,0,14,511,534,313,265,66,73,261,160,59,56,0,14,0,14
1400000US36005002300,"Census Tract 23, Bronx County, New York",Bronx,2587,355,119,88,0,14,0,14,0,14,0,14,0,14,18,33,161,176,0,14,52,55,217,207,175,92,22,41,55,68,163,145,380,190,105,84,375,141,283,144,323,188,85,82,54,45,0,14,0,14
1400000US36005002400,"Census Tract 24, Bronx County, New York",Bronx,67,10,0,14,0,14,0,14,14,28,0,14,0,14,0,14,0,14,0,14,0,14,0,14,15,28,11,26,0,14,13,31,14,31,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005002500,"Census Tract 25, Bronx County, New York",Bronx,2905,324,329,139,0,19,0,19,0,19,0,19,0,19,74,67,44,50,118,94,16,22,87,88,4,12,147,112,161,135,197,113,555,195,144,114,25,33,606,242,59,70,232,166,86,92,0,19,21,33
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",Bronx,1781,239,193,126,0,14,10,17,0,14,29,44,90,78,0,14,0,14,83,96,35,39,109,73,4,36,83,79,57,59,279,162,312,157,80,68,160,122,92,74,16,26,149,118,0,14,0,14,0,14
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",Bronx,3287,429,131,86,24,41,0,14,0,14,45,70,29,39,0,14,17,27,237,159,6,14,211,155,254,157,128,116,248,128,311,192,644,198,250,178,73,63,238,144,122,109,155,129,164,130,0,14,0,14
1400000US36005002800,"Census Tract 28, Bronx County, New York",Bronx,4002,518,70,73,24,43,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,93,175,64,93,35,56,71,73,134,141,518,212,27,33,208,132,566,232,505,233,840,314,784,413,0,19,63,72
1400000US36005003100,"Census Tract 31, Bronx County, New York",Bronx,1751,324,61,60,0,14,0,14,160,249,0,14,0,14,11,18,18,29,12,19,0,14,28,49,0,14,0,14,35,39,53,64,464,128,70,77,261,112,34,38,126,76,299,113,80,80,39,54,0,14
