geoid,tract_name,borough,B19013_E001,B19013_M001
1400000US36005000100,"Census Tract 1, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005000200,"Census Tract 2, Bronx County, New York",Bronx,123729,13524
1400000US36005000400,"Census Tract 4, Bronx County, New York",Bronx,105924,38868
1400000US36005001600,"Census Tract 16, Bronx County, New York",Bronx,52147,12188
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",Bronx,58083,19090
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",Bronx,48953,3062
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",Bronx,22311,9749
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",Bronx,18649,6326
1400000US36005002300,"Census Tract 23, Bronx County, New York",Bronx,16332,5124
1400000US36005002400,"Census Tract 24, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005002500,"Census Tract 25, Bronx County, New York",Bronx,35582,6952
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",Bronx,20266,4408
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",Bronx,30895,10808
1400000US36005002800,"Census Tract 28, Bronx County, New York",Bronx,58068,23628
1400000US36005003100,"Census Tract 31, Bronx County, New York",Bronx,59297,25140
1400000US36005003300,"Census Tract 33, Bronx County, New York",Bronx,31289,26984
1400000US36005003500,"Census Tract 35, Bronx County, New York",Bronx,36569,2776
1400000US36005003700,"Census Tract 37, Bronx County, New York",Bronx,53029,15572
1400000US36005003800,"Census Tract 38, Bronx County, New York",Bronx,54214,32493
1400000US36005003900,"Census Tract 39, Bronx County, New York",Bronx,25625,18165
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",Bronx,78935,18566
1400000US36005004100,"Census Tract 41, Bronx County, New York",Bronx,14592,3524
1400000US36005004200,"Census Tract 42, Bronx County, New York",Bronx,55404,11181
1400000US36005004300,"Census Tract 43, Bronx County, New York",Bronx,23393,23091
1400000US36005004400,"Census Tract 44, Bronx County, New York",Bronx,24375,10744
1400000US36005004600,"Census Tract 46, Bronx County, New York",Bronx,30714,15687
1400000US36005004800,"Census Tract 48, Bronx County, New York",Bronx,35870,17844
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",Bronx,33632,8531
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",Bronx,34688,7558
1400000US36005005100,"Census Tract 51, Bronx County, New York",Bronx,25851,5472
1400000US36005005200,"Census Tract 52, Bronx County, New York",Bronx,39743,19175
1400000US36005005300,"Census Tract 53, Bronx County, New York",Bronx,20608,7238
1400000US36005005400,"Census Tract 54, Bronx County, New York",Bronx,54884,19487
1400000US36005005600,"Census Tract 56, Bronx County, New York",Bronx,41684,14570
