geoid,tract_name,borough,B25003_E001,B25003_M001,B25003_E002,B25003_M002,B25003_E003,B25003_M003
1400000US36005000100,"Census Tract 1, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005000200,"Census Tract 2, Bronx County, New York",Bronx,1416,197,850,140,566,241
1400000US36005000400,"Census Tract 4, Bronx County, New York",Bronx,2218,277,1336,219,882,331
1400000US36005001600,"Census Tract 16, Bronx County, New York",Bronx,2083,201,459,223,1624,248
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",Bronx,1149,117,112,119,1037,150
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",Bronx,624,78,51,37,573,87
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",Bronx,1729,201,0,14,1729,201
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",Bronx,1808,466,402,182,1406,473
1400000US36005002300,"Census Tract 23, Bronx County, New York",Bronx,1904,206,0,14,1904,206
1400000US36005002400,"Census Tract 24, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005002500,"Census Tract 25, Bronx County, New York",Bronx,1872,149,44,50,1828,149
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",Bronx,1197,114,29,44,1168,118
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",Bronx,1528,140,107,115,1421,172
1400000US36005002800,"Census Tract 28, Bronx County, New York",Bronx,2806,351,477,154,2329,364
1400000US36005003100,"Census Tract 31, Bronx County, New York",Bronx,1162,264,174,82,988,271
1400000US36005003300,"Census Tract 33, Bronx County, New York",Bronx,1243,175,259,107,984,195
1400000US36005003500,"Census Tract 35, Bronx County, New York",Bronx,1428,306,38,39,1390,308
1400000US36005003700,"Census Tract 37, Bronx County, New York",Bronx,149,74,0,14,149,74
1400000US36005003800,"Census Tract 38, Bronx County, New York",Bronx,392,27,202,67,190,73
1400000US36005003900,"Census Tract 39, Bronx County, New York",Bronx,2197,298,173,126,2024,314
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",Bronx,489,70,297,65,192,78
1400000US36005004100,"Census Tract 41, Bronx County, New York",Bronx,2468,333,43,70,2425,329
1400000US36005004200,"Census Tract 42, Bronx County, New York",Bronx,2839,320,352,148,2487,367
1400000US36005004300,"Census Tract 43, Bronx County, New York",Bronx,2230,177,308,169,1922,224
1400000US36005004400,"Census Tract 44, Bronx County, New York",Bronx,1539,133,60,71,1479,157
1400000US36005004600,"Census Tract 46, Bronx County, New York",Bronx,664,86,148,70,516,89
1400000US36005004800,"Census Tract 48, Bronx County, New York",Bronx,1498,150,43,41,1455,154
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",Bronx,1406,137,168,70,1238,155
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",Bronx,1880,229,116,79,1764,231
1400000US36005005100,"Census Tract 51, Bronx County, New York",Bronx,2930,258,190,174,2740,346
1400000US36005005200,"Census Tract 52, Bronx County, New York",Bronx,813,105,121,79,692,127
1400000US36005005300,"Census Tract 53, Bronx County, New York",Bronx,1614,179,22,32,1592,185
1400000US36005005400,"Census Tract 54, Bronx County, New York",Bronx,1756,209,190,117,1566,241
1400000US36005005600,"Census Tract 56, Bronx County, New York",Bronx,1006,197,155,131,851,133
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",Bronx,1288,202,459,155,829,199
1400000US36005006000,"Census Tract 60, Bronx County, New York",Bronx,386,56,36,28,350,54
1400000US36005006100,"Census Tract 61, Bronx County, New York",Bronx,1875,345,822,243,1053,385
1400000US36005006200,"Census Tract 62, Bronx County, New York",Bronx,2544,366,31,37,2513,369
1400000US36005006301,"Census Tract 63.01, Bronx County, New York",Bronx,3045,275,539,337,2506,289
1400000US36005006302,"Census Tract 63.02, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005006400,"Census Tract 64, Bronx County, New York",Bronx,1574,222,260,129,1314,245
1400000US36005006500,"Census Tract 65, Bronx County, New York",Bronx,2245,243,87,126,2158,266
1400000US36005006700,"Census Tract 67, Bronx County, New York",Bronx,2640,454,47,77,2593,466
1400000US36005006800,"Census Tract 68, Bronx County, New York",Bronx,893,177,259,150,634,161
1400000US36005006900,"Census Tract 69, Bronx County, New York",Bronx,2705,393,86,100,2619,394
1400000US36005007000,"Census Tract 70, Bronx County, New York",Bronx,1447,151,402,143,1045,169
1400000US36005007100,"Census Tract 71, Bronx County, New York",Bronx,1530,150,375,131,1155,213
1400000US36005007200,"Census Tract 72, Bronx County, New York",Bronx,1625,241,538,188,1087,234
1400000US36005007300,"Census Tract 73, Bronx County, New York",Bronx,1602,241,130,163,1472,295
1400000US36005007400,"Census Tract 74, Bronx County, New York",Bronx,1429,117,378,140,1051,158
1400000US36005007500,"Census Tract 75, Bronx County, New York",Bronx,2430,218,351,201,2079,258
1400000US36005007600,"Census Tract 76, Bronx County, New York",Bronx,1822,250,473,181,1349,222
1400000US36005007700,"Census Tract 77, Bronx County, New York",Bronx,601,71,120,64,481,88
1400000US36005007800,"Census Tract 78, Bronx County, New York",Bronx,1932,211,533,161,1399,261
1400000US36005007900,"Census Tract 79, Bronx County, New York",Bronx,2225,239,35,61,2190,245
1400000US36005008300,"Census Tract 83, Bronx County, New York",Bronx,2213,270,238,155,1975,332
1400000US36005008400,"Census Tract 84, Bronx County, New York",Bronx,1023,345,709,356,314,132
1400000US36005008500,"Census Tract 85, Bronx County, New York",Bronx,2189,256,386,167,1803,289
1400000US36005008600,"Census Tract 86, Bronx County, New York",Bronx,1550,276,152,96,1398,267
1400000US36005008700,"Census Tract 87, Bronx County, New York",Bronx,2091,218,124,93,1967,236
1400000US36005008900,"Census Tract 89, Bronx County, New York",Bronx,1346,189,68,55,1278,201
1400000US36005009000,"Census Tract 90, Bronx County, New York",Bronx,1281,179,199,163,1082,157
1400000US36005009200,"Census Tract 92, Bronx County, New York",Bronx,1872,168,494,176,1378,215
1400000US36005009301,"Census Tract 93.01, Bronx County, New York",Bronx,1912,273,282,203,1630,330
1400000US36005009302,"Census Tract 93.02, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005009600,"Census Tract 96, Bronx County, New York",Bronx,818,149,177,64,641,152
1400000US36005009800,"Census Tract 98, Bronx County, New York",Bronx,1669,174,878,208,791,225
1400000US36005011000,"Census Tract 110, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005011502,"Census Tract 115.02, Bronx County, New York",Bronx,1513,191,82,59,1431,200
1400000US36005011701,"Census Tract 117.01, Bronx County, New York",Bronx,474,38,34,35,440,46
1400000US36005011702,"Census Tract 117.02, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005011800,"Census Tract 118, Bronx County, New York",Bronx,1517,182,876,192,641,154
1400000US36005011900,"Census Tract 119, Bronx County, New York",Bronx,1875,187,92,60,1783,200
1400000US36005012101,"Census Tract 121.01, Bronx County, New York",Bronx,1057,105,107,74,950,115
1400000US36005012102,"Census Tract 121.02, Bronx County, New York",Bronx,572,135,14,21,558,133
1400000US36005012300,"Census Tract 123, Bronx County, New York",Bronx,1772,191,210,160,1562,201
1400000US36005012500,"Census Tract 125, Bronx County, New York",Bronx,1449,138,295,153,1154,138
1400000US36005012701,"Census Tract 127.01, Bronx County, New York",Bronx,745,112,174,60,571,133
1400000US36005012901,"Census Tract 129.01, Bronx County, New York",Bronx,1744,243,0,14,1744,243
1400000US36005013000,"Census Tract 130, Bronx County, New York",Bronx,472,105,269,52,203,110
1400000US36005013100,"Census Tract 131, Bronx County, New York",Bronx,2225,228,219,132,2006,251
1400000US36005013200,"Census Tract 132, Bronx County, New York",Bronx,2605,343,1834,360,771,294
1400000US36005013300,"Census Tract 133, Bronx County, New York",Bronx,2269,322,114,85,2155,347
1400000US36005013500,"Census Tract 135, Bronx County, New York",Bronx,1534,239,23,40,1511,242
1400000US36005013800,"Census Tract 138, Bronx County, New York",Bronx,1255,212,923,208,332,105
1400000US36005014100,"Census Tract 141, Bronx County, New York",Bronx,3034,257,229,144,2805,278
1400000US36005014300,"Census Tract 143, Bronx County, New York",Bronx,743,60,0,14,743,60
1400000US36005014400,"Census Tract 144, Bronx County, New York",Bronx,2428,294,383,163,2045,327
1400000US36005014500,"Census Tract 145, Bronx County, New York",Bronx,2433,417,36,61,2397,427
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",Bronx,2009,432,20,40,1989,431
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",Bronx,1924,472,30,44,1894,470
1400000US36005014900,"Census Tract 149, Bronx County, New York",Bronx,1546,179,343,121,1203,182
1400000US36005015100,"Census Tract 151, Bronx County, New York",Bronx,2117,401,401,258,1716,402
1400000US36005015200,"Census Tract 152, Bronx County, New York",Bronx,986,135,537,131,449,115
1400000US36005015300,"Census Tract 153, Bronx County, New York",Bronx,1781,331,152,97,1629,343
1400000US36005015500,"Census Tract 155, Bronx County, New York",Bronx,1064,191,50,48,1014,189
1400000US36005015700,"Census Tract 157, Bronx County, New York",Bronx,2321,111,200,131,2121,178
1400000US36005015800,"Census Tract 158, Bronx County, New York",Bronx,534,59,253,61,281,62
1400000US36005015900,"Census Tract 159, Bronx County, New York",Bronx,1023,165,101,81,922,192
1400000US36005016000,"Census Tract 160, Bronx County, New York",Bronx,1521,143,966,172,555,153
1400000US36005016100,"Census Tract 161, Bronx County, New York",Bronx,2224,264,27,47,2197,256
1400000US36005016200,"Census Tract 162, Bronx County, New York",Bronx,509,73,292,59,217,82
1400000US36005016300,"Census Tract 163, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005016400,"Census Tract 164, Bronx County, New York",Bronx,392,68,231,69,161,67
1400000US36005016500,"Census Tract 165, Bronx County, New York",Bronx,376,44,0,14,376,44
1400000US36005016600,"Census Tract 166, Bronx County, New York",Bronx,802,99,398,94,404,93
1400000US36005016700,"Census Tract 167, Bronx County, New York",Bronx,1154,128,41,36,1113,137
1400000US36005016900,"Census Tract 169, Bronx County, New York",Bronx,607,157,64,45,543,166
1400000US36005017100,"Census Tract 171, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005017300,"Census Tract 173, Bronx County, New York",Bronx,2276,247,199,204,2077,284
1400000US36005017500,"Census Tract 175, Bronx County, New York",Bronx,2975,431,0,19,2975,431
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",Bronx,1462,199,34,57,1428,203
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",Bronx,1675,192,391,176,1284,233
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",Bronx,1688,297,214,114,1474,315
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",Bronx,1216,219,0,14,1216,219
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",Bronx,1084,126,90,87,994,156
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",Bronx,2150,542,41,44,2109,547
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",Bronx,1934,201,487,153,1447,253
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",Bronx,1452,349,212,87,1240,360
1400000US36005018400,"Census Tract 184, Bronx County, New York",Bronx,1340,131,614,116,726,152
1400000US36005018501,"Census Tract 185.01, Bronx County, New York",Bronx,1466,228,15,27,1451,232
1400000US36005018502,"Census Tract 185.02, Bronx County, New York",Bronx,2106,232,66,66,2040,224
1400000US36005018900,"Census Tract 189, Bronx County, New York",Bronx,3050,189,281,190,2769,263
1400000US36005019300,"Census Tract 193, Bronx County, New York",Bronx,2519,363,58,97,2461,356
1400000US36005019400,"Census Tract 194, Bronx County, New York",Bronx,696,96,358,100,338,108
1400000US36005019500,"Census Tract 195, Bronx County, New York",Bronx,2703,246,19,32,2684,250
1400000US36005019700,"Census Tract 197, Bronx County, New York",Bronx,2528,397,0,19,2528,397
